Marble Arch,Marble arch was the state entrance to Buckingham Palace until it was moved. Now it is an entrance to Hyde Park.,51.5134313,-0.158337984,images/London_MarbleArch.jpg,0-1hrs
Wellington Arch and Hyde Park,Stroll through Hyde Park until you reach Wellington Arch. Hyde Park is the largest park in central London.,51.50275253,-0.1506888616,images/London_WellingtonArch.jpg,1 hr
Buckingham Palace,Buckingham Palace is the official residence for the English monarchy. It is used for royal hospitality and special ocasions.,51.50147084,-0.1418792737,images/London_Buckingham.jpg,1hr
Changing the Guard,Changing the Guard is a famous ceremony where the classic british guards march to change turns. Normally the ceremony starts at 11:30; but it is crowded so arrive early. Make sure to check this webpage https://changing-guard.com/dates-buckingham-palace.html for the calendar.,51.50147084,-0.1418792737,images/London_Guards.jpg,1.5 hrs
Westminster Abbey,Westmister Abbey is a Romanesque Abbey Church where coronations and other ceremonies of national significance are held. ,51.49949507,-0.1272208509,images/London_WestmisterAbbey.jpg,2 hrs
Big Ben and Westimster Palace,After your visit to Westimister Abbey walk towards River Thames where London's main landmarks are Big Ben a famous clock tower and Westmister Palace where the House of Commons and the House of Lords meet.,51.50078614,-0.1245982993,images/London_BigBen.jpg,1hr
St Stephen's Tavern,St Stephen's Tavern is a classic English pub here you can eat an authentic Fish & Chips.,51.49962811,-0.1566122441,images/London_StephensTavern.png,1.5 hrs
London Eye,London Eye is Europe's tallest observation wheel. Here you'll get amazing views to Central London and the city's main Landmarks like the Big Ben and Westmister Palace ,51.50330363,-0.1195204041,images/London_Eye.png,1.5 hrs
Knightsbridge: Harrods,Harrods is one of the most famous and luxurious department store in London it dates back to the 1800s.,51.49945443,-0.1632149141,images/London_Harrods.jpg,1+ hrs
Pizza Express,Pizza Express is a British pizza and italian food chain restaurant This restauant is in the affordable side for the area and a classic for the locals.,51.49794939,-0.1652324613,images/London_PizzaExpress.png,1.5 hrs
Petrus by Gordon Ramsay,Contemporary European cuisine with Michelin-starred quality. Make sure to make a reservation ahead of time. The head chef is Gordon Ramsay.,51.49962811,-0.1566122441,images/London_Petrus.jpg,2 hrs
Tower of London,A 900-year-old castle that houses the crown jewels and armours. It was also a prision that holded many famous and infamous prisoners.,51.50826597,-0.07600294668,images/London_Tower.jpg,2+ hrs
Covent Garden,What was a small open-air fruit-and-vegetable market in 1654 is now a world-class shopping and dining destination.,51.51244233,-0.1230891979,images/London_CoventGarden.jpg,2 hrs
Sky Garden,A garden located on a skyscraper in London is free to visit and you'll get a 360 degree view of London!,51.51136237,-0.08357076018,images/London_SkyGarden.jpg,2 hrs
British Museum,Visit the first national public museum in the world founded in 1753. This museum holds over eight million objects documenting human culture from its beginnings.,51.518757,-0.126168,images/London_BritishMuseum,2+ hrs
Churchill War Rooms,The underground bunker that Prime Minister Winston Churchill and his war cabinet used to shelter from bomb raids and plottheir plans during World War II.,51.5022,-0.1294,images/London_ChurchillWarRooms,2+ hrs
