Name,Description,Lat,Lng,Image,Time
Central Park,Central Park is an urban park in New York City located between the Upper West and Upper East Sides of Manhattan. It is the most visited urban park in the United States.,40.7812,-73.9665,images/NewYork_CentralPark.jpg,3+hrs
Empire State Building,The Empire State Building is a 102-story Art Deco skyscraper in Midtown Manhattan. This historical landmark opened in 1931 and is the world's most famous office building.,30.7484,-73.9857,images/NewYork_EmpireStateBuilding.jpg,1-2hrs
Statue of Liberty,The Statue of Liberty is a colossal neoclassical sculpture on Liberty Island in New York Harbor gifted from the people of France in 1885. The statue stands as a universal symbol of freedom and represents the United States itself.,40.6892,-74.0445,images/NewYork_StatueofLiberty.jpg,2-3hrs
9/11 Memorial and Museum,The National September 11 Memorial & Museum is a memorial and museum commemorating the September 11 2001 attacks which killed nearly 3000 people.,40.7115,-74.0124,images/NewYork_9-11MemorialandMuseum.jpg,2-3hrs
Metropolitan Museum of Art,The Metropolitan Museum of Art is the largest art museum in the United States. Its permanent collection contains over 2 million works from classical antiquity and ancient Egypt; paintings; and sculptures from nearly all the European masters; and an extensive collection of American and modern art.,40.7794,-73.9632,images/NewYork_MetropolitanMuseumofArt.jpg,3-5hrs
Times Square,Times Square is a major commercial intersection; tourist destination; entertainment center; and neighborhood in the Midtown Manhattan at the junction of Broadway and Seventh Avenue. It is brightly lit by numerous billboards and advertisements and the hub of the Broadway Theater Destrict.,40.758,-73.9855,images/NewYork_TimesSquare.jpg,1-2hrs
Museum of Modern Art,The Museum of Modern Art (MoMA) is an art museum located in Midtown Manhattan. It's often identified as one of the largest and most influential museums of modern art in the world. MoMA's collection offers a vast overview of modern and contemporary art,40.7614,-73.9776,images/NewYork_MuseumofModernArt.jpg,2-4hrs
Grand Central Terminal,Grand Central Terminal is a commuter rail terminal located at 42nd Street and Park Avenue in Midtown Manhattan. The distinctive architecture and interior design of Grand Central Terminal's station house have earned it several landmark designations and as a National Historic Landmark.,40.7527,73.9772,images/NewYork_GrandCentralTerminal.jpg,0-1hrs
American Museum of Natural History,The American Museum of Natural History is a natural history museum on the Upper West Side of Manhattan. The museum collections contain over 34 million specimens of plants; animals; fossils; minerals; rocks; meteorites; human remains; human cultural artifacts; and more! The museum also houses a planetarium and a library.,40.7813,-73.974,images/NewYork_AmericanMuseumofNaturalHistory.jpg,2-3hrs
Broadway,Broadway refers to the theatrical performances which are presented in the 41 professional theatres - each with 500 or more seats - located in the Theater District and the Lincoln Center in Midtown Manhattan. It is closely identified with Times Square.,40.7535,-73.9852,images/NewYork_Broadway.jpg,1-2hrs
Coney island,Coney Island is a peninsular neighborhood and entertainment area in the southwestern  borough of Brooklyn. The area has two amusement parks - Luna Park and Deno's Wonder Wheel Amusement Park - as well as several rides that are not incorporated into either amusement park.,40.5755,-73.9707,images/NewYork_ConeyIsland.jpg,1-4hrs
Ellis Island,Ellis Island is a federally-owned island in New York Harbor that was the busiest immigrant inspection station in the United States. From 1892 to 1924 nearly 12 million immigrants arriving at the Port of New York and New Jersey were processed there under federal law.,40.6995,-74.0396,images/NewYork_EllisIsland.jpg,1-2hrs
Rockefeller Center,Rockefeller Center is a large complex consisting of 19 commercial buildings covering 22 acres between 48th Street and 51st Street in Midtown Manhattan. It is famous for its large quantities of art present in almost all of its buildings and its annyal lighting of the Rockefeller Center Christmas Tree. ,40.7587,-73.9787,images/NewYork_RockefellerCenter.jpg,0-1hrs
Brooklyn Bridge,The Brooklyn Bridge is a hybrid cable-stayed/suspension bridge spanning the East River between Manhattan Island and Brooklyn on Long Island. It has become an icon of New York City and a National Historic Landmark. ,40.7061,-73.9969,images/NewYork_BrooklynBridge.jpg,0-1hrs
Washington Square Park,One of the best known of New York City's public parks. Washington Square Park is an icon as well as a meeting place and center for cultural activity.,40.73110329,-73.99735346,images/NewYork_WashingtonPark.jpg,1+hrs
